Ensembl Protein ID	HGNC symbol
ENSP00000218104	ABCD1
ENSP00000218147	BCORL1
ENSP00000218176	KCND1
ENSP00000218197	SLC25A14
ENSP00000218230	PCSK1N
ENSP00000218249	RAB40AL
ENSP00000218316	GPR50
ENSP00000218340	RP2
ENSP00000218343	JADE3
ENSP00000218348	USP11
ENSP00000218364	HTATSF1
ENSP00000218388	TIMP1
ENSP00000218432	PIN4
ENSP00000218436	ITIH6
ENSP00000218439	MAGED2
ENSP00000218507	CENPI
ENSP00000218516	GLA
ENSP00000218652	NDFIP2
ENSP00000218721	MLNR
ENSP00000218758	ACP5
ENSP00000218867	SGCG
ENSP00000218894	SUPT20H
ENSP00000219022	OLFM4
ENSP00000219054	ACSM2A
ENSP00000219066	NTHL1
ENSP00000219069	ZNF263
ENSP00000219070	MMP2
ENSP00000219091	ZNF205
ENSP00000219097	ORC6
ENSP00000219139	C16orf70
ENSP00000219150	CORO1A
ENSP00000219162	MT4
ENSP00000219168	LYRM1
ENSP00000219169	NUTF2
ENSP00000219172	CENPT
ENSP00000219197	CBLN1
ENSP00000219204	ARL2BP
ENSP00000219207	PLLP
ENSP00000219235	CCL22
ENSP00000219240	DHODH
ENSP00000219244	CCL17
ENSP00000219252	POLR2C
ENSP00000219255	PARD6A
ENSP00000219271	MMP15
ENSP00000219281	USB1
ENSP00000219299	CCDC113
ENSP00000219301	PRSS54
ENSP00000219302	NME3
ENSP00000219313	PSMD7
ENSP00000219320	SLC38A7
ENSP00000219334	SMPD3
ENSP00000219343	SLC7A6
ENSP00000219345	PLA2G15
ENSP00000219368	FA2H
ENSP00000219400	CMC2
ENSP00000219406	PDIA2
ENSP00000219409	ARHGDIG
ENSP00000219431	MPG
ENSP00000219439	HSDL1
ENSP00000219454	WFDC1
ENSP00000219473	USP10
ENSP00000219476	TSC2
ENSP00000219478	ZNF500
ENSP00000219479	NME4
ENSP00000219481	DECR2
ENSP00000219535	FAM173A
ENSP00000219542	METRN
ENSP00000219548	STUB1
ENSP00000219551	RHBDL1
ENSP00000219593	ZP2
ENSP00000219596	MEFV
ENSP00000219599	CRYM
ENSP00000219611	CAPN15
ENSP00000219660	AQP8
ENSP00000219689	USP31
ENSP00000219700	HMOX2
ENSP00000219782	MAZ
ENSP00000219789	CDIPT
ENSP00000219794	BCKDK
ENSP00000219837	KNOP1
ENSP00000219905	MGA
ENSP00000219919	AQP9
ENSP00000220003	CSK
ENSP00000220058	MTFMT
ENSP00000220062	RASL12
ENSP00000220166	CTSH
ENSP00000220244	KIAA1199
ENSP00000220325	EHD4
ENSP00000220420	TGM5
ENSP00000220478	SCG3
ENSP00000220496	DNAJC17
ENSP00000220507	RHOV
ENSP00000220509	VPS18
ENSP00000220514	OIP5
ENSP00000220531	BLOC1S6
ENSP00000220562	EXTL3
ENSP00000220584	FDFT1
ENSP00000220592	AGO2
ENSP00000220597	PAG1
ENSP00000220616	TG
ENSP00000220659	BRF2
ENSP00000220669	ZFAND1
ENSP00000220676	RP1
ENSP00000220751	RIPK2
ENSP00000220763	CPQ
ENSP00000220764	DECR1
ENSP00000220772	SFRP1
ENSP00000220809	PLAT
ENSP00000220812	DKK4
ENSP00000220822	GDAP1
ENSP00000220849	EIF3E
ENSP00000220853	EMC2
ENSP00000220876	STMN2
ENSP00000220913	CHRAC1
ENSP00000220931	NCALD
ENSP00000220940	GML
ENSP00000220959	UBR5
ENSP00000220966	PYCRL
ENSP00000221086	MTMR9
ENSP00000221114	DCTN6
ENSP00000221130	GSR
ENSP00000221132	TNFRSF10A
ENSP00000221138	PPP2CB
ENSP00000221166	NEFM
ENSP00000221200	KCTD9
ENSP00000221232	CNOT3
ENSP00000221233	EXOSC5
ENSP00000221249	PNPLA6
ENSP00000221265	PAF1
ENSP00000221283	STXBP2
ENSP00000221307	CYP4F3
ENSP00000221327	ZNF180
ENSP00000221347	FCGBP
ENSP00000221399	TULP2
ENSP00000221403	DHDH
ENSP00000221413	RUVBL2
ENSP00000221418	ECH1
ENSP00000221419	HNRNPL
ENSP00000221421	LHB
ENSP00000221431	SARS2
ENSP00000221444	KCNA7
ENSP00000221448	SNRNP70
ENSP00000221452	RELB
ENSP00000221455	CLASRP
ENSP00000221459	LIN7B
ENSP00000221466	FCGRT
ENSP00000221476	CKM
ENSP00000221480	PEX11G
ENSP00000221485	SLC17A7
ENSP00000221486	RNASEH2A
ENSP00000221494	SF3A2
ENSP00000221496	AMH
ENSP00000221498	DKKL1
ENSP00000221515	RETN
ENSP00000221538	RSPH6A
ENSP00000221543	TBC1D17
ENSP00000221554	CCDC130
ENSP00000221561	AES
ENSP00000221566	SGTA
ENSP00000221573	SNAPC2
